Reporting Economy,Product/Sector,Partner Economy,Year,Value,Product/Sector-reformatted,Type,Direction
Iran,BOP6 - SOX1 - Other commercial services,World,2016,2610.0,Other commercial services,services,imports
Iran,BOP6 - S - Memo item: Total services,World,2016,16583.0,Memo item: Total services,services,imports
Italy,BOP6 - SA - Manufacturing services on physical inputs owned by others,World,2016,2387.0,Manufacturing services on physical inputs owned by others,services,imports
Italy,BOP6 - SB - Maintenance and repair services n.i.e.,World,2016,792.0,Maintenance and repair services n.i.e.,services,imports
Italy,BOP6 - SC - Transport,World,2016,23235.0,Transport,services,imports
Italy,BOP6 - SD - Travel,World,2016,24956.0,Travel,services,imports
Italy,BOP6 - SOX1 - Other commercial services,World,2016,52111.0,Other commercial services,services,imports
Italy,BOP6 - S - Memo item: Total services,World,2016,105440.0,Memo item: Total services,services,imports
Japan,BOP6 - SA - Manufacturing services on physical inputs owned by others,World,2016,5164.0,Manufacturing services on physical inputs owned by others,services,imports
Japan,BOP6 - SB - Maintenance and repair services n.i.e.,World,2016,4444.0,Maintenance and repair services n.i.e.,services,imports
Japan,BOP6 - SC - Transport,World,2016,38088.0,Transport,services,imports
Japan,BOP6 - SD - Travel,World,2016,18485.0,Travel,services,imports
Japan,BOP6 - SOX1 - Other commercial services,World,2016,117972.0,Other commercial services,services,imports
Japan,BOP6 - S - Memo item: Total services,World,2016,186183.0,Memo item: Total services,services,imports
"Korea, Republic of",BOP6 - SA - Manufacturing services on physical inputs owned by others,World,2016,8189.0,Manufacturing services on physical inputs owned by others,services,imports
"Korea, Republic of",BOP6 - SB - Maintenance and repair services n.i.e.,World,2016,331.0,Maintenance and repair services n.i.e.,services,imports
"Korea, Republic of",BOP6 - SC - Transport,World,2016,28756.0,Transport,services,imports
"Korea, Republic of",BOP6 - SD - Travel,World,2016,27243.0,Travel,services,imports
"Korea, Republic of",BOP6 - SOX1 - Other commercial services,World,2016,46243.0,Other commercial services,services,imports
"Korea, Republic of",BOP6 - S - Memo item: Total services,World,2016,112148.0,Memo item: Total services,services,imports
Mexico,BOP6 - SB - Maintenance and repair services n.i.e.,World,2016,196.0,Maintenance and repair services n.i.e.,services,imports
Mexico,BOP6 - SC - Transport,World,2016,13204.0,Transport,services,imports
